Time,Human Count
3,0
6,0
9,0
12,0
15,0
18,0
21,0
24,0
27,0
30,0
33,0
36,0
39,0
42,0
45,0
48,0
51,0
54,0
57,0
60,0
63,0
66,0
69,0
72,0
75,0
78,0
81,0
84,0
87,0
90,0
93,0
96,0
99,0
102,0
105,0
108,0
111,0
114,0
117,0
120,0
123,0
126,0
129,0
132,0
135,0
138,0
141,0
144,0
147,0
150,0
153,0
156,0
159,0
162,0
165,0
168,0
171,0
174,0
177,0
180,0
183,0
186,0
189,0
192,0
195,0
198,0
201,0
204,0
207,0
210,0
213,0
216,0
219,0
222,0
225,0
228,0
231,0
234,0
237,0
240,0
243,0
246,0
249,0
252,0
255,0
258,0
261,0
264,0
267,0
270,0
273,0
276,0
279,0
282,0
285,0
288,0
291,0
294,0
297,0
300,0
303,0
306,0
309,0
312,0
315,0
318,0
321,0
324,0
327,0
330,0
333,0
336,0
339,0
342,0
345,0
348,0
351,0
354,0
357,0
360,0
363,0
366,0
369,0
372,0
375,0
378,0
381,0
384,0
387,0
390,0
393,0
396,0
399,0
402,0
405,0
408,0
411,0
414,0
417,0
420,0
423,0
426,0
429,0
432,0
435,0
438,0
441,0
444,0
447,0
450,0
453,0
456,1
459,1
462,1
465,1
468,1
471,1
474,1
477,1
480,1
483,1
486,1
489,1
492,1
495,1
498,1
501,1
504,1
507,1
510,1
513,1
516,1
519,1
522,1
525,1
528,1
531,1
534,1
537,1
540,1
543,1
546,1
549,1
552,1
555,1
558,1
561,1
564,1
567,1
570,1
573,1
576,1
579,1
582,1
585,1
588,1
591,1
594,1
597,1
600,1
603,1
606,1
609,1
612,1
615,1
618,1
621,1
624,1
627,1
630,1
633,1
636,1
639,1
642,1
645,1
648,1
651,1
654,1
657,1
660,1
663,1
666,1
669,1
672,1
675,1
678,1
681,1
684,1
687,1
690,1
693,1
696,1
699,1
702,1
705,1
708,1
711,1
714,1
717,1
720,1
723,1
726,1
729,1
732,1
735,1
738,1
741,1
744,1
747,1
750,1
753,1
756,1
759,1
762,1
765,1
768,1
771,1
774,1
777,1
780,1
783,1
786,1
789,1
792,1
795,1
798,1
801,1
804,1
807,1
810,1
813,1
816,1
819,1
822,1
825,1
828,1
831,1
834,1
837,1
840,1
843,1
846,1
849,1
852,1
855,1
858,1
861,1
864,1
867,1
870,1
873,1
876,1
879,1
882,1
885,1
888,1
891,1
894,1
897,1
900,1
903,1
906,1
909,1
912,1
915,1
918,1
921,1
924,1
927,1
930,1
933,1
936,1
939,1
942,1
945,1
948,1
951,1
954,1
957,1
960,1
963,1
966,1
969,1
972,1
975,1
978,1
981,1
984,1
987,1
990,1
993,1
996,1
999,1
1002,1
1005,1
1008,1
1011,1
1014,1
1017,1
1020,1
1023,1
1026,1
1029,1
1032,1
1035,1
1038,1
1041,1
1044,1
1047,1
1050,1
1053,1
1056,1
1059,1
1062,1
1065,1
1068,1
1071,1
1074,1
1077,1
1080,1
1083,1
1086,1
1089,1
1092,1
1095,1
1098,1
1101,1
1104,1
1107,1
1110,1
1113,1
1116,1
1119,1
1122,1
1125,1
1128,1
1131,1
1134,1
1137,1
1140,1
1143,1
1146,1
1149,1
1152,1
1155,1
1158,1
1161,1
1164,1
1167,1
1170,1
1173,1
1176,1
1179,1
1182,1
1185,1
1188,1
1191,1
1194,1
1197,1
1200,1
1203,1
1206,1
1209,1
1212,1
1215,1
1218,1
1221,1
1224,1
1227,1
1230,1
1233,1
1236,1
1239,1
1242,1
1245,1
1248,1
1251,1
1254,1
1257,1
1260,1
1263,1
1266,1
1269,1
1272,1
1275,1
1278,1
1281,1
1284,1
1287,1
1290,1
1293,1
1296,1
1299,1
1302,1
1305,1
1308,1
1311,1
1314,1
1317,1
1320,1
1323,1
1326,1
1329,1
1332,1
1335,1
1338,1
1341,1
1344,1
1347,1
1350,1
1353,1
1356,1
1359,1
1362,1
1365,1
1368,1
1371,1
1374,1
1377,1
1380,1
1383,1
1386,1
1389,1
1392,1
1395,1
1398,1
1401,1
1404,1
1407,1
1410,1
1413,1
1416,1
1419,1
1422,1
1425,1
1428,1
1431,1
1434,1
1437,1
1440,1
1443,1
1446,1
1449,1
1452,1
1455,1
1458,1
1461,1
1464,1
1467,1
1470,1
1473,1
1476,1
1479,1
1482,1
1485,1
1488,1
1491,1
1494,1
1497,1
1500,1
1503,1
1506,1
1509,1
1512,1
1515,1
1518,1
1521,1
1524,1
1527,1
1530,1
1533,1
1536,1
1539,1
1542,1
1545,1
1548,1
1551,1
1554,1
1557,1
1560,1
1563,1
1566,1
1569,1
1572,1
1575,1
1578,1
1581,1
1584,1
1587,1
1590,1
1593,1
1596,1
1599,1
1602,1
1605,1
1608,1
1611,1
1614,1
1617,1
1620,1
1623,1
1626,1
1629,1
1632,1
1635,1
1638,1
1641,1
1644,1
1647,1
1650,1
1653,1
1656,1
1659,1
1662,1
1665,1
1668,1
1671,1
1674,1
1677,1
1680,1
1683,1
1686,1
1689,1
1692,1
1695,1
1698,1
1701,1
1704,2
1707,2
1710,2
1713,2
1716,2
1719,2
1722,2
1725,2
1728,2
1731,2
1734,2
1737,2
1740,2
1743,2
1746,2
1749,2
1752,2
1755,2
1758,2
1761,2
1764,2
1767,2
1770,2
1773,2
1776,2
1779,2
1782,2
1785,2
1788,2
1791,2
1794,2
1797,2
1800,2
1803,2
1806,2
1809,2
1812,2
1815,2
1818,2
1821,2
1824,2
1827,2
1830,2
1833,2
1836,2
1839,2
1842,2
1845,2
1848,2
1851,2
1854,2
1857,2
1860,2
1863,2
1866,2
1869,2
1872,2
1875,2
1878,2
1881,2
1884,2
1887,2
1890,2
1893,2
1896,2
1899,2
1902,2
1905,2
1908,2
1911,2
1914,2
1917,2
1920,2
1923,2
1926,2
1929,2
1932,2
1935,2
1938,2
1941,2
1944,2
1947,3
1950,3
1953,3
1956,3
1959,3
1962,3
1965,3
1968,3
1971,3
1974,3
1977,3
1980,3
1983,3
1986,3
1989,3
1992,3
1995,3
1998,3
2001,3
2004,3
2007,3
2010,4
2013,4
2016,4
2019,4
2022,4
2025,4
2028,4
2031,4
2034,4
2037,4
2040,4
2043,4
2046,4
2049,4
2052,4
2055,4
2058,4
2061,4
2064,4
2067,4
2070,4
2073,4
2076,4
2079,4
2082,4
2085,4
2088,4
2091,4
2094,4
2097,4
2100,4
2103,4
2106,4
2109,4
2112,4
2115,4
2118,4
2121,4
2124,4
2127,4
2130,4
2133,4
2136,4
2139,4
2142,4
2145,4
2148,4
2151,4
2154,4
2157,4
2160,4
2163,4
2166,4
2169,4
2172,4
2175,4
2178,4
2181,4
2184,4
2187,4
2190,4
2193,4
2196,4
2199,4
2202,4
2205,4
2208,4
2211,4
2214,4
2217,4
2220,4
2223,4
2226,4
2229,4
2232,4
2235,4
2238,4
2241,4
2244,4
2247,4
2250,4
2253,4
2256,4
2259,4
2262,4
2265,4
2268,4
2271,4
2274,4
2277,4
2280,4
2283,4
2286,4
2289,4
2292,4
2295,4
2298,4
2301,4
2304,4
2307,4
2310,4
2313,4
2316,4
2319,4
2322,4
2325,4
2328,4
2331,4
2334,4
2337,4
2340,4
2343,4
2346,4
2349,4
2352,4
2355,4
2358,4
2361,4
2364,4
2367,4
2370,4
2373,4
2376,4
2379,4
2382,4
2385,4
2388,4
2391,4
2394,4
2397,4
2400,4
2403,4
2406,4
2409,4
2412,4
2415,4
2418,4
2421,4
2424,4
2427,4
2430,4
2433,4
2436,4
2439,4
2442,4
2445,4
2448,4
2451,4
2454,4
2457,4
2460,4
2463,4
2466,4
2469,4
2472,4
2475,4
2478,4
2481,4
2484,4
2487,4
2490,4
2493,4
2496,4
2499,4
2502,4
2505,3
2508,3
2511,3
2514,3
2517,3
2520,3
2523,3
2526,3
2529,3
2532,3
2535,3
2538,3
2541,3
2544,3
2547,3
2550,3
2553,3
2556,3
2559,3
2562,3
2565,3
2568,3
2571,3
2574,3
2577,3
2580,3
2583,3
2586,3
2589,3
2592,3
2595,3
2598,3
2601,3
2604,3
2607,3
2610,3
2613,3
2616,3
2619,3
2622,3
2625,3
2628,3
2631,3
2634,3
2637,3
2640,3
2643,3
2646,3
2649,3
2652,3
2655,3
2658,3
2661,3
2664,3
2667,3
2670,3
2673,3
2676,3
2679,3
2682,3
2685,3
2688,3
2691,3
2694,3
2697,3
2700,3
2703,3
2706,3
2709,3
2712,3
2715,3
2718,3
2721,3
2724,3
2727,3
2730,3
2733,3
2736,3
2739,3
2742,3
2745,3
2748,3
2751,3
2754,3
2757,3
2760,3
2763,4
2766,4
2769,4
2772,4
2775,4
2778,4
2781,4
2784,4
2787,4
2790,4
2793,4
2796,4
2799,5
2802,5
2805,5
2808,5
2811,5
2814,5
2817,5
2820,5
2823,5
2826,5
2829,5
2832,5
2835,5
2838,5
2841,5
2844,5
2847,5
2850,5
2853,5
2856,5
2859,5
2862,5
2865,5
2868,5
2871,5
2874,5
2877,5
2880,5
2883,5
2886,5
2889,5
2892,5
2895,5
2898,5
2901,5
2904,5
2907,5
2910,5
2913,5
2916,5
2919,5
2922,5
2925,5
2928,5
2931,5
2934,5
2937,5
2940,5
2943,5
2946,5
2949,5
2952,5
2955,5
2958,5
2961,5
2964,5
2967,5
2970,5
2973,5
2976,5
2979,5
2982,5
2985,5
2988,5
2991,5
2994,5
2997,5
3000,5
3003,5
3006,5
3009,5
3012,5
3015,5
3018,5
3021,5
3024,5
3027,5
3030,5
3033,5
3036,5
3039,5
3042,5
3045,5
3048,5
3051,5
3054,5
3057,5
3060,5
3063,5
3066,5
3069,5
3072,5
3075,5
3078,5
3081,5
3084,5
3087,5
3090,5
3093,5
3096,5
3099,5
3102,5
3105,5
3108,5
3111,5
3114,5
3117,5
3120,5
3123,5
3126,5
3129,5
3132,5
3135,5
3138,5
3141,5
3144,5
3147,5
3150,5
3153,5
3156,5
3159,5
3162,5
3165,5
3168,5
3171,5
3174,5
3177,5
3180,5
3183,5
3186,6
3189,6
3192,6
3195,6
3198,6
3201,6
3204,6
3207,6
3210,6
3213,6
3216,6
3219,6
3222,6
3225,6
3228,6
3231,6
3234,6
3237,6
3240,6
3243,6
3246,6
3249,6
3252,6
3255,6
3258,6
3261,6
3264,6
3267,6
3270,6
3273,6
3276,6
3279,6
3282,6
3285,6
3288,6
3291,6
3294,6
3297,6
3300,5
3303,5
3306,5
3309,5
3312,5
3315,5
3318,5
3321,5
3324,5
3327,5
3330,5
3333,5
3336,5
3339,5
3342,5
3345,5
3348,5
3351,5
3354,5
3357,5
3360,5
3363,5
3366,5
3369,5
3372,5
3375,5
3378,5
3381,5
3384,5
3387,5
3390,5
3393,5
3396,5
3399,5
3402,5
3405,5
3408,5
3411,5
3414,4
3417,4
3420,4
3423,4
3426,4
3429,4
3432,4
3435,4
3438,4
3441,4
3444,4
3447,4
3450,4
3453,4
3456,4
3459,4
3462,4
3465,4
3468,4
3471,4
3474,4
3477,4
3480,4
3483,4
3486,4
3489,4
3492,4
3495,4
3498,4
3501,4
3504,3
3507,3
3510,3
3513,3
3516,3
3519,3
3522,3
3525,3
3528,3
3531,2
3534,2
3537,2
3540,2
3543,2
3546,2
3549,2
3552,2
3555,2
3558,2
3561,2
3564,2
3567,2
3570,2
3573,2
3576,2
3579,2
3582,2
3585,2
3588,2
3591,2
3594,2
3597,2
3600,2
3603,2
3606,2
3609,2
3612,2
3615,2
3618,2
3621,2
3624,2
3627,2
3630,2
3633,2
3636,2
3639,2
3642,2
3645,2
3648,2
3651,2
3654,2
3657,2
3660,2
3663,2
3666,2
3669,2
3672,2
3675,2
3678,2
3681,2
3684,2
3687,2
3690,2
3693,2
3696,2
3699,2
3702,2
3705,2
3708,2
3711,2
3714,2
3717,2
3720,2
3723,2
3726,2
3729,2
3732,2
3735,2
3738,2
3741,2
3744,2
3747,2
3750,2
3753,2
3756,2
3759,2
3762,2
3765,2
3768,2
3771,2
3774,2
3777,2
3780,2
3783,2
3786,2
3789,2
3792,2
3795,2
3798,2
3801,2
3804,2
3807,2
3810,2
3813,2
3816,2
3819,2
3822,2
3825,2
3828,2
3831,2
3834,2
3837,2
3840,2
3843,2
3846,2
3849,2
3852,2
3855,2
3858,2
3861,2
3864,2
3867,2
3870,2
3873,2
3876,2
3879,2
3882,2
3885,2
3888,2
3891,2
3894,2
3897,2
3900,2
3903,2
3906,1
3909,1
3912,1
3915,1
3918,1
3921,1
3924,1
3927,1
3930,1
3933,1
3936,1
3939,1
3942,1
3945,1
3948,1
3951,1
3954,1
3957,1
3960,1
3963,1
3966,1
3969,1
3972,1
3975,1
3978,1
3981,1
3984,1
3987,1
3990,1
3993,1
3996,1
3999,1
4002,1
4005,1
4008,1
4011,1
4014,1
4017,1
4020,1
4023,1
4026,1
4029,1
4032,1
4035,1
4038,1
4041,1
4044,1
4047,1
4050,1
4053,1
4056,1
4059,1
4062,1
4065,1
4068,1
4071,1
4074,1
4077,1
4080,1
4083,1
4086,1
4089,1
4092,1
4095,1
4098,1
4101,1
4104,1
4107,1
4110,1
4113,1
4116,0
4119,0
4122,0
4125,0
4128,0
4131,0
4134,0
4137,0
4140,0
4143,0
4146,0
4149,0
4152,0
4155,0
4158,0
4161,0
4164,0
4167,0
4170,0
4173,0
4176,0
4179,0
4182,0
4185,0
4188,0
4191,0
4194,0
4197,0
4200,0
4203,0
4206,0
4209,0
4212,0
4215,0
4218,0
4221,0
4224,0
4227,0
4230,0
4233,0
4236,0
4239,0
4242,0
4245,0
4248,0
4251,0
4254,0
4257,0
4260,0
4263,0
4266,0
4269,0
4272,0
4275,0
4278,0
4281,0
4284,0
4287,0
4290,0
4293,0
4296,0
4299,0
4302,0
4305,0
4308,0
4311,0
4314,0
4317,0
4320,0
4323,0
4326,0
4329,0
4332,0
4335,0
4338,0
4341,0
4344,0
4347,0
4350,0
4353,0
4356,0
4359,0
4362,0
4365,0
4368,0
4371,0
4374,0
4377,0
4380,0
4383,0
4386,0
4389,0
4392,0
4395,0
4398,0
4401,0
4404,0
4407,0
4410,0
4413,0
4416,0
4419,0
4422,0
4425,0
4428,0
4431,0
4434,0
4437,0
4440,0
4443,0
4446,0
4449,0
4452,0
4455,0
4458,0
4461,0
4464,0
4467,0
4470,0
4473,0
4476,0
4479,0
4482,0
4485,0
4488,0
4491,0
4494,0
4497,0
4500,0
4503,0
4506,0
4509,0
4512,0
4515,0
4518,0
4521,0
4524,0
4527,0
4530,0
4533,0
4536,0
4539,0
4542,0
4545,0
4548,0
4551,0
4554,0
4557,0
4560,0
4563,0
4566,0
4569,0
4572,0
4575,0
4578,0
4581,0
4584,0
4587,0
4590,0
4593,0
4596,0
4599,0
4602,0
4605,0
4608,0
4611,0
4614,0
4617,0
4620,0
4623,0
4626,0
4629,0
4632,0
4635,0
4638,0
4641,0
4644,0
4647,0
4650,0
4653,0
4656,0
4659,0
4662,0
4665,0
4668,0
4671,0
4674,0
4677,0
4680,0
4683,0
4686,0
4689,0
4692,0
4695,0
4698,0
4701,0
4704,0
4707,0
4710,0
4713,0
4716,0
4719,0
4722,0
4725,0
4728,0
4731,0
4734,0
4737,0
4740,0
4743,0
4746,0
4749,0
4752,0
4755,0
4758,0
4761,0
4764,0
4767,0
4770,0
4773,0
4776,0
4779,0
4782,0
4785,0
4788,0
4791,0
4794,0
4797,0
4800,0
4803,0
4806,0
4809,0
4812,0
4815,0
4818,0
4821,0
4824,0
4827,0
4830,0
4833,0
4836,0
4839,0
4842,0
